"place","heat","lane","name","team","reaction_time","time","dq","event","split_50","split_100","split_150","split_200","split_250","split_300","split_350","split_400","split_450","split_500","split_550","split_600","split_650","split_700","split_750","split_800","split_850","split_900","split_950","split_1000","split_1050","split_1100","split_1150","split_1200","split_1250","split_1300","split_1350","split_1400","split_1450","split_1500","relay_swimmer_1","relay_swimmer_2","relay_swimmer_3","relay_swimmer_4","relay_swimmer_1_gender","relay_swimmer_2_gender","relay_swimmer_3_gender","relay_swimmer_4_gender"
1,"final",2,"RYLOV Evgeny","ROC",0.55,51.98,0,"men 100m backstroke",24.96,27.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"final",5,"KOLESNIKOV Kliment","ROC",0.62,52,0,"men 100m backstroke",24.9,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"final",4,"MURPHY Ryan","USA",0.52,52.19,0,"men 100m backstroke",25.26,26.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"final",6,"CECCON Thomas","ITA",0.61,52.3,0,"men 100m backstroke",25.54,26.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"final",7,"XU Jiayu","CHN",0.52,52.51,0,"men 100m backstroke",25.4,27.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"final",1,"GONZALEZ Hugo","ESP",0.6,52.78,0,"men 100m backstroke",25.64,27.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"final",3,"LARKIN Mitch","AUS",0.59,52.79,0,"men 100m backstroke",25.64,27.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"final",8,"GLINTA Robert","ROU",0.57,52.95,0,"men 100m backstroke",25.36,27.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_1",4,"ATAYEV Merdan","TKM",0.64,55.24,0,"men 100m backstroke",26.48,28.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_1",5,"CASTILLO Gabriel","BOL",0.56,58.24,0,"men 100m backstroke",27.94,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"heat_1",3,"RASOLONJATOVO Heriniavo","MAD",0.59,59.81,0,"men 100m backstroke",28.69,31.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_2",6,"STOKOWSKI Kacper","POL",0.57,53.99,0,"men 100m backstroke",26.29,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_2",2,"SANTOS Francisco Rogerio","POR",0.6,54.35,0,"men 100m backstroke",26.32,28.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"heat_2",5,"CEJKA Jan","CZE",0.55,54.69,0,"men 100m backstroke",26.31,28.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"heat_2",3,"CARTER Dylan","TTO",0.65,54.82,0,"men 100m backstroke",26.24,28.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"heat_2",4,"LAITAROVSKY Michael","ISR",0.51,55.34,0,"men 100m backstroke",25.95,29.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"heat_2",7,"LEVTEROV Kaloyan","BUL",0.52,55.6,0,"men 100m backstroke",26.99,28.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_3",5,"ULRICH Marek","GER",0.63,53.74,0,"men 100m backstroke",25.86,27.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_3",8,"BASSETO Guilherme","BRA",0.54,53.84,0,"men 100m backstroke",25.5,28.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"heat_3",2,"QUAH Zheng Wen","SGP",0.49,53.94,0,"men 100m backstroke",25.73,28.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"heat_3",4,"BRAUNSCHWEIG Ole","GER",0.6,54.14,0,"men 100m backstroke",26.31,27.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"heat_3",6,"NATARAJ Srihari","IND",0.57,54.31,0,"men 100m backstroke",26.18,28.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"heat_3",7,"TOUMARKIN Yakov","ISR",0.62,54.81,0,"men 100m backstroke",26.46,28.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"heat_3",1,"TSMYH Mikita","BLR",0.59,54.88,0,"men 100m backstroke",26.12,28.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"heat_3",3,"REITSHAMMER Bernhard","AUT",0.58,55.26,0,"men 100m backstroke",25.95,29.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_4",4,"XU Jiayu","CHN",0.54,52.7,0,"men 100m backstroke",25.24,27.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_4",3,"TOMAC Mewen","FRA",0.6,53.49,0,"men 100m backstroke",25.72,27.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"heat_4",6,"GUIDO Guilherme","BRA",0.58,53.65,0,"men 100m backstroke",25.62,28.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"heat_4",7,"COOPER Isaac","AUS",0.62,53.73,0,"men 100m backstroke",25.91,27.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"heat_4",5,"ARMSTRONG Joseph","USA",0.72,53.77,0,"men 100m backstroke",26.33,27.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"heat_4",2,"GREENBANK Luke","GBR",0.58,53.79,0,"men 100m backstroke",26.09,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"heat_4",8,"TELEGDY Adam","HUN",0.64,54.42,0,"men 100m backstroke",26.29,28.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"heat_4",1,"MARTIN Daniel","ROU",0.55,56.91,0,"men 100m backstroke",26.85,30.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_5",4,"KOLESNIKOV Kliment","ROC",0.65,52.15,0,"men 100m backstroke",24.89,27.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_5",3,"CECCON Thomas","ITA",0.63,52.49,0,"men 100m backstroke",25.63,26.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"heat_5",5,"LARKIN Mitch","AUS",0.6,52.97,0,"men 100m backstroke",25.89,27.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"heat_5",2,"IRIE Ryosuke","JPN",0.52,52.99,0,"men 100m backstroke",25.64,27.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"heat_5",6,"GONZALEZ Hugo","ESP",0.59,53.45,0,"men 100m backstroke",26.13,27.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"heat_5",7,"SABBIONI Simone","ITA",0.61,53.79,0,"men 100m backstroke",26.43,27.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"heat_5",8,"LEE Juho","KOR",0.53,53.84,0,"men 100m backstroke",25.7,28.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"heat_5",1,"COETZE Pieter","RSA",0.61,54.05,0,"men 100m backstroke",26.19,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"heat_6",2,"NDOYE-BROUARD Yohann","FRA",0.55,53.13,0,"men 100m backstroke",25.97,27.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_6",4,"RYLOV Evgeny","ROC",0.54,53.22,0,"men 100m backstroke",26.12,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"heat_6",5,"MURPHY Ryan","USA",0.53,53.22,0,"men 100m backstroke",26.15,27.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"heat_6",6,"GLINTA Robert","ROU",0.6,53.67,0,"men 100m backstroke",26.22,27.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"heat_6",3,"CHRISTOU Apostolos","GRE",0.6,53.77,0,"men 100m backstroke",25.78,27.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"heat_6",7,"THORMEYER Markus","CAN",0.65,53.8,0,"men 100m backstroke",26.05,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"heat_6",1,"PRATT Cole","CAN",0.61,54.27,0,"men 100m backstroke",26.45,27.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"heat_6",NA,"BOHUS Richard","HUN",NA,NA,1,"men 100m backstroke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"semi_1",6,"MURPHY Ryan","USA",0.51,52.24,0,"men 100m backstroke",25.39,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
